Latitude,Longitude
34.60944,-102.44227
34.63644,-102.49551
34.55659,-102.48661
34.53774,-102.49271
34.56239,-102.50584
34.53876,-102.44853
34.51269,-102.42904
34.60078,-102.52368
34.61519,-102.47863
34.59123,-102.50287
34.53297,-102.46458
34.57753,-102.5056
34.57973,-102.44188
34.51285,-102.44561
34.6148,-102.51978
34.61299,-102.44978
34.53819,-102.49842
34.53948,-102.48597
34.5256,-102.41238
34.58559,-102.48829
34.59692,-102.5135
34.64497,-102.47735
34.63155,-102.47815
34.56221,-102.49694
34.51294,-102.44933
34.62165,-102.41885
34.64491,-102.4724
34.51807,-102.40595
34.62639,-102.43665
34.58627,-102.46359
34.50874,-102.47118
34.61211,-102.48854
34.50841,-102.46247
34.55781,-102.46681
34.55738,-102.43259
34.50887,-102.47627
34.61465,-102.51296
34.64229,-102.45944
34.59679,-102.45357
34.62503,-102.46468
34.52141,-102.43123
34.63494,-102.49152
34.55541,-102.45692
34.54499,-102.51766
34.55076,-102.50578
34.61867,-102.45419
34.51279,-102.43803
34.64505,-102.48289
34.52005,-102.42195
34.58917,-102.49751
34.57602,-102.50166
34.61148,-102.5038
34.6315,-102.47339
34.53674,-102.47548
34.54679,-102.5042
34.52327,-102.48509
34.62033,-102.45808
34.55807,-102.4911
34.63778,-102.4493
34.52351,-102.45217
34.6341,-102.52325
34.50363,-102.4157
34.54611,-102.45611
34.52812,-102.4159
34.56265,-102.44589
34.62965,-102.51251
34.62658,-102.41477
34.56944,-102.45778
34.62786,-102.50781
34.61175,-102.41853
34.55389,-102.42827
34.59943,-102.52019
34.59328,-102.50819
34.63162,-102.48321
34.53256,-102.44065
34.50896,-102.48499
34.56295,-102.47546
34.54274,-102.45209
34.56749,-102.45275
34.51814,-102.41703
34.53537,-102.44476
34.51591,-102.40047
34.56091,-102.47145
34.57449,-102.49773
34.53409,-102.4683
34.51184,-102.45788
34.58338,-102.454
32.21439,-101.41079
32.1689,-101.36269
32.2151,-101.42029
32.17619,-101.36139
32.1777,-101.36499
32.19,-101.44459
32.1777,-101.36759
32.1777,-101.36879
32.21529,-101.41419
32.215,-101.41309
32.1805,-101.43229
32.1767,-101.36249
32.1807,-101.4335
32.19009,-101.44319
32.19019,-101.43769
32.2156,-101.4167
32.2152,-101.41909
32.2156,-101.41539
32.17049,-101.36489
32.17749,-101.37009
32.1904,-101.44039
32.16719,-101.36119
32.1904,-101.43899
32.168,-101.35829
32.1758,-101.36019
32.1797,-101.43749
32.16679,-101.36019
32.1773,-101.36379
32.2145,-101.40689
32.21389,-101.40229
32.17799,-101.36629
32.18969,-101.43489
32.21479,-101.41199
32.2152,-101.42149
32.19,-101.4363
32.1903,-101.44179
32.2154,-101.41789
32.18,-101.43879
32.1698,-101.36379
32.1759,-101.35889
32.2142,-101.40959
32.2142,-101.4083
32.18039,-101.43109
32.2141,-101.40439
32.2138,-101.39779
32.2138,-101.39999
28.23311,-97.56027
28.24793,-97.52119
28.28643,-97.52853
28.27211,-97.45924
28.26913,-97.48333
28.30833,-97.56271
28.29089,-97.50796
28.26599,-97.54459
28.23672,-97.55106
28.26631,-97.49411
28.24311,-97.488
28.26692,-97.56649
28.28568,-97.56579
28.22375,-97.53758
28.24557,-97.50342
28.26219,-97.50401
28.23598,-97.50679
28.2518,-97.53496
28.25913,-97.51586
28.22198,-97.54325
28.21684,-97.48861
28.26662,-97.52477
28.2331,-97.4926
28.30485,-97.54416
28.23521,-97.48759
28.28177,-97.47306
28.24615,-97.57363
28.25455,-97.56605
28.24232,-97.54191
28.23516,-97.55579
28.2592,-97.52978
28.28351,-97.51268
28.29328,-97.54354
28.24513,-97.55876
28.21156,-97.4957
28.26413,-97.44943
28.29081,-97.49691
28.24086,-97.51415
28.23877,-97.51843
28.28371,-97.54775
28.26241,-97.46085
28.2842,-97.48461
28.28035,-97.46157
28.26434,-97.45512
28.26267,-97.46661
28.30725,-97.55266
28.27778,-97.5553
28.22109,-97.50794
28.24898,-97.56765
28.26822,-97.48931
34.05348,-102.6871
34.04734,-102.64538
34.03761,-102.58025
34.0619,-102.71711
34.05555,-102.69147
34.08791,-102.64892
34.08292,-102.63936
34.0494,-102.67843
34.03904,-102.66096
34.05928,-102.70028
34.03643,-102.65615
34.07409,-102.62096
34.04604,-102.6746
34.04573,-102.64051
34.09015,-102.65406
34.07758,-102.6298
34.04278,-102.63076
34.04437,-102.63558
34.05736,-102.64931
34.06149,-102.71099
34.05113,-102.68296
34.08024,-102.63461
34.07603,-102.62524
34.05919,-102.65408
34.06122,-102.66612
34.03705,-102.61542
34.06112,-102.70478
34.0575,-102.69577
34.04107,-102.66596
34.0338,-102.6513
34.03938,-102.61998
34.06078,-102.65891
34.04315,-102.67053
34.04628,-102.60364
34.08537,-102.64409
34.06139,-102.67253
34.03945,-102.58476
34.04335,-102.59416
34.03545,-102.57605
34.04737,-102.60864
34.04499,-102.5988
34.04181,-102.58895
34.04173,-102.62435
34.29829,-99.37879
34.31199,-99.3466
34.34489,-99.37539
34.25819,-99.43589
34.3374,-99.35639
34.36099,-99.33689
34.28669,-99.39089
34.2763,-99.41589
34.28999,-99.37619
34.29799,-99.39039
34.2581,-99.4577
34.3387,-99.3522
34.31986,-99.37581
34.34349,-99.38069
34.24289,-99.44579
34.31653,-99.38754
34.31888,-99.38451
34.29139,-99.35849
34.2968,-99.39509
34.3494,-99.35339
34.24509,-99.44329
34.29879,-99.39869
34.2987,-99.37479
34.28999,-99.36479
34.29889,-99.37069
